meanTout;Gender;Age;NatVent_night;UsesCoolingAlternatives;hw_True;cte_23_7h_True;cte_7_15h_True;cte_15_23h_True;ShadingDevices_No;ShadingDevices_WhenDirectSun;ShadingDevices_AllAfternoon;ShadingDevices_AllMorning;ShadingDevices_AllDay;NatVent_day_ToutCool;NatVent_day_Anytime;NatVent_day_No;hasAC_No;hasAC_DormOrLiving;hasAC_DormAndLiving;hasAC_AllRooms;HouseholdSize;is_31001;is_31002;is_31003;is_31004;is_31005;is_31006;is_31007;is_31008;is_31009;is_31010;is_31011;is_31012;is_31013;is_31014;is_31015;is_31016;isNot_pamplona;before_1980;between_1980_2006;after_2007;dwelling_OldTown;dwelling_Block;dwelling_Tower;dwelling_Detached;dwelling_Other;Rehab_No;Rehab_Yes;Income_below1500;Income_between_1500_3500;Income_above_3500;Occ_NormallyAtHome;Occ_NotAlwaysAtHome;SrfcArea_below90;Storey_UpperFloor;Storey_NotApartment;numOrient_1;numOrient_above2;LivRoom_SrfcAreaWindow_below2;LivRoom_SrfcAreaWindow_above2;Bedroom_SrfcAreaWindow_below2;Bedroom_SrfcAreaWindow_above2;AC_Installed_Yes;WouldYouInstallAC_Yes;hasCoolRoom;hasCoolingAlternatives;cluster_kmeans
16.7;True;44;False;True;False;False;True;False;False;True;False;False;False;True;False;False;True;False;False;False;4;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;False;False;True;False;True;False;False;False;False;True;False;True;True;False;False;False;True;True;1
30.0;True;45;False;False;True;True;False;False;False;False;False;False;True;False;True;False;False;False;False;True;3;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;True;False;False;False;True;False;False;False;False;True;False;True;True;False;True;False;False;False;0
27.7;True;50;True;False;True;False;True;False;False;False;False;False;True;True;False;False;True;False;False;False;6;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;False;False;True;False;False;True;False;True;False;False;True;False;True;False;True;False;True;False;False;False;True;1
27.7;False;46;True;True;True;False;True;False;False;False;False;False;True;False;False;True;True;False;False;False;4;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;True;False;False;False;True;False;False;True;False;True;True;False;False;False;True;False;False;True;False;True;False;True;False;True;1
27.7;True;53;False;False;True;False;True;False;False;False;False;False;True;True;False;False;True;False;False;False;2;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;False;False;False;True;False;False;True;False;True;False;False;False;True;False;False;False;False;True;False;True;True;False;False;False;False;False;1
27.7;True;41;False;True;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;True;False;False;False;False;True;True;False;False;False;True;True;True;False;False;True;False;True;True;False;False;False;False;False;1
29.2;True;75;True;False;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;2;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;True;False;False;True;False;True;False;False;False;False;True;False;True;False;True;True;False;True;False;1
18.1;False;45;True;False;False;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;2;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;True;False;True;False;False;False;True;True;False;False;False;True;False;True;True;False;False;False;False;False;0
26.2;False;52;False;True;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;5;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;True;False;False;True;True;False;False;False;False;False;True;False;True;False;True;False;False;False;True;0
26.2;False;50;True;True;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;5;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;False;False;True;False;True;False;True;False;False;False;True;False;True;False;True;True;False;True;False;True;True;1
